"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Operational","ECR error","Gate length (ns)"
"20","348.05402762323985","253.3006729196597","4.8623490778374645","-0.3090978906556921","0.048828125","0.0224609375","0.07373046875","1300","0.00015173002316821798","60","0","0.00015173002316821798","0.00015173002316821798","Yes","33:0.034170989629942194;19:0.0031742352446807454","33:660;19:660"
"21","132.0152374630951","123.96151701270995","4.966487103777559","-0.30694839478531033","0.013671875","0.0048828125","0.0087890625","1300","0.0025885325496635813","60","0","0.0025885325496635813","0.0025885325496635813","Yes","20:0.0034754449878538485;22:0.004352410234946563","20:660;22:660"
"22","273.5786050053838","296.8714728987909","5.0381566371033895","-0.3065535436677073","0.0203857421875","0.02880859375","0.01220703125","1300","0.0001396401764416769","60","0","0.0001396401764416769","0.0001396401764416769","Yes","23:0.0050274345088777705","23:660"
"23","273.6057272647114","198.1982091294282","4.844920312463234","-0.309395699354676","0.020263671875","0.01220703125","0.0185546875","1300","0.00013953105325981103","60","0","0.00013953105325981103","0.00013953105325981103","Yes","",""
"24","323.3941434898533","79.2261635630631","5.100795620214222","-0.3054983979252499","0.1710205078125","0.03271484375","0.24951171875","1300","0.00016929366386287414","60","0","0.00016929366386287414","0.00016929366386287414","Yes","23:0.007525648445917965","23:660;34:660"
"25","230.69397309268075","227.32579408907185","4.945229621022067","-0.3084275156167526","0.05126953125","0.0087890625","0.01611328125","1300","0.0002616980889098259","60","0","0.0002616980889098259","0.0002616980889098259","Yes","24:0.006404435006847731","24:660"
"26","216.28538735436598","167.53022530085545","4.854122031581938","-0.30976922795032275","0.012939453125","0.0263671875","0.0078125","1300","0.0003724372722554752","60","0","0.0003724372722554752","0.0003724372722554752","Yes","25:0.010880837371382651","25:660"
"27","338.41227639854657","263.6608237555382","4.7476336814253","-0.31027519414312993","0.03076171875","0.05908203125","0.02197265625","1300","0.00012922636547768498","60","0","0.00012922636547768498","0.00012922636547768498","Yes","26:0.004085381932229376","26:660"
"28","287.6730157541117","107.76523907799884","4.99440757436827","-0.3073714140177614","0.0228271484375","0.01220703125","0.0283203125","1300","0.0002832186815032931","60","0","0.0002832186815032931","0.0002832186815032931","Yes","27:0.004733639154394426;29:0.006026436877770935;35:0.006840884400288599","27:660;29:660;35:660"
"29","250.51222411277487","223.30313572741645","4.628662544276131","-0.3122408870668324","0.025634765625","0.037109375","0.0126953125","1300","0.00022229047119889","60","0","0.00022229047119889","0.00022229047119889","Yes","",""
"30","331.51180702021395","61.92537589263156","4.732963006089237","-0.31090012417705765","0.010498046875","0.00927734375","0.00927734375","1300","0.00030009872342151486","60","0","0.00030009872342151486","0.00030009872342151486","Yes","29:0.00520326602388585;31:0.010402713164553379","29:660;31:660"
"31","273.92839636128866","46.24126182205112","4.797600355323849","-0.31025628620305007","0.029296875","0.0380859375","0.0224609375","1300","0.00026423030353570325","60","0","0.00026423030353570325","0.00026423030353570325","Yes","32:0.006738345556876774","32:660"
"32","277.4672105510885","258.668180920569","4.9103802265706955","-0.3078794303810588","0.0152587890625","0.01904296875","0.00927734375","1300","0.0002470003568419888","60","0","0.0002470003568419888","0.0002470003568419888","Yes","36:0.004600573272869751","36:660"
"33","250.20524363304818","124.45488481301176","4.973182700484502","-0.3075486854907048","0.0216064453125","0.021484375","0.01953125","1300","0.0005131499495511141","60","0","0.0005131499495511141","0.0005131499495511141","Yes","39:0.009686890964546196","39:660"
"34","319.80453182946496","160.21754670688694","4.678637195172271","-0.3124338462946453","0.0477294921875","0.0244140625","0.060546875","1300","0.00013448201043278558","60","0","0.00013448201043278558","0.00013448201043278558","Yes","43:0.0038753382761450017","43:660"
"35","166.88122914479942","123.69105744714433","4.907592077275437","-0.308301773576246","0.0208740234375","0.01220703125","0.02490234375","1300","0.0002492567506958117","60","0","0.0002492567506958117","0.0002492567506958117","Yes","47:0.007142018959078067","47:660"
"36","251.48055518524916","237.21378439860052","4.812519441782185","-0.31175120998201256","0.044189453125","0.01123046875","0.037109375","1300","0.00022202368670426928","60","0","0.00022202368670426928","0.00022202368670426928","Yes","51:0.005997260833457835","51:660"
"37","173.04241034475012","99.27549810686045","4.837892073663182","-0.30886995110205334","0.0064697265625","0.00390625","0.0205078125","1300","0.00012002046781872368","60","0","0.00012002046781872368","0.00012002046781872368","Yes","38:0.005316898829677674","38:660"
"38","189.788135173941","122.6163626963944","4.776671123252765","-0.31016511917022377","0.016845703125","0.01416015625","0.01513671875","1300","0.00020332111376958757","60","0","0.00020332111376958757","0.00020332111376958757","Yes","",""
"39","258.9688501957443","158.7788956709874","4.91741609972447","-0.30824769981735706","0.0377197265625","0.017578125","0.0458984375","1300","0.0002799131359976847","60","0","0.0002799131359976847","0.0002799131359976847","Yes","38:0.005225697422943737","38:660"
"40","284.8116607297633","50.03229865328542","4.868222698549546","-0.30859152479413265","0.0191650390625","0.01708984375","0.02490234375","1300","0.00021863683265779972","60","0","0.00021863683265779972","0.00021863683265779972","Yes","41:0.005604531130320167;39:0.0056343624780830215","41:660;39:660"
"41","229.99958446249354","252.40551653312534","4.935533874602647","-0.30862641143413133","0.0147705078125","0.0078125","0.0107421875","1300","0.00023247534515571626","60","0","0.00023247534515571626","0.00023247534515571626","Yes","53:0.0055664035098582365","53:660"
