"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"24","69.99685210965744","15.376285579966229","4.611448454806462","-0.31354982608399573","0.03400000000000003","0.034399999999999986","0.0336","1216","0.0006957515385182363","0","0.0006957515385182363","0.0006957515385182363","","","true"
"25","250.96993768018618","355.97540741696326","4.731645269835475","-0.3122550841543125","0.021299999999999986","0.019199999999999995","0.0234","1216","0.0002115651764401425","0","0.0002115651764401425","0.0002115651764401425","25_24:0.012318005838965057","25_24:533.3333333333333","true"
"26","389.6344856487154","111.87967517121847","4.777297396817984","-0.31228117808626144","0.007099999999999995","0.011399999999999966","0.0028","1216","0.00023097924029730923","0","0.00023097924029730923","0.00023097924029730923","26_25:0.0038933850498872324;26_16:0.024840207859660013;26_27:0.007560381337798822","26_25:533.3333333333333;26_16:533.3333333333333;26_27:533.3333333333333","true"
"27","305.9209926175819","116.52406356081715","4.6803602306776435","-0.31282791406798793","0.008399999999999963","0.010399999999999965","0.0064","1216","0.00021610096807477434","0","0.00021610096807477434","0.00021610096807477434","","","true"
"28","243.12772801701362","81.09843992612923","4.743985018623886","-0.27186381179166696","0.0512999999999999","0.04179999999999995","0.0608","1216","0.0008060362346013246","0","0.0008060362346013246","0.0008060362346013246","28_27:0.009636282949001651","28_27:533.3333333333333","true"
"29","349.11383043081025","158.97601641959002","4.791732162124575","-0.32426284330226407","0.009600000000000053","0.012399999999999967","0.0068","1216","0.00018444733112451026","0","0.00018444733112451026","0.00018444733112451026","29_30:0.00673678370790895;29_28:0.009254696719594002","29_30:533.3333333333333;29_28:533.3333333333333","true"
"30","372.55545538574324","308.8526133433831","4.692900290899958","-0.3126801438234927","0.016199999999999992","0.016199999999999992","0.0162","1216","0.00012629326965023246","0","0.00012629326965023246","0.00012629326965023246","","","true"
"31","278.2607689384225","30.837374985058496","5.057529083520848","-0.3070059221402992","0.01200000000000001","0.015","0.009000000000000008","1216","0.0005487909621597599","0","0.0005487909621597599","0.0005487909621597599","31_30:0.00872588579918801;31_32:0.006648167341581995","31_30:533.3333333333333;31_32:533.3333333333333","true"
"32","288.1996907010868","313.33864831196473","4.929968620604567","-0.30828223495463736","0.023700000000000054","0.02400000000000002","0.0234","1216","0.0002700115790071203","0","0.0002700115790071203","0.0002700115790071203","32_36:0.008223622779439249","32_36:533.3333333333333","true"
"33","322.25535325164265","401.6087894269937","4.677511905656563","-0.3137282279838826","0.00869999999999993","0.012199999999999989","0.0052","1216","0.00010170274266424158","0","0.00010170274266424158","0.00010170274266424158","33_39:0.005024751609861849","33_39:533.3333333333333","true"
