"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"73","273.0291524267986","118.48104120157673","4.822094962161799","-0.3060243215183466","0.0051000000000001044","0.00660000000000005","0.0036","1244.4444444444443","0.0001423130358376802","0","0.0001423130358376802","0.0001423130358376802","73_66:0.04357412472051461;73_85:0.012091433134889973","73_66:561.7777777777777;73_85:561.7777777777777","true"
"74","284.36307221265156","294.78806403799524","4.609667178117021","-0.31109191615982995","0.0504","0.0494","0.0514","1244.4444444444443","0.0001214148479876346","0","0.0001214148479876346","0.0001214148479876346","","","true"
"75","247.20963943737658","154.02406019903657","4.7873972115117915","-0.27824835792971114","0.0031999999999999806","0.0054","0.0010000000000000009","1244.4444444444443","0.00020037756717651234","0","0.00020037756717651234","0.00020037756717651234","75_76:0.008627021503168936;75_90:1","75_76:561.7777777777777;75_90:561.7777777777777","true"
"76","326.4003193482113","56.132109091624045","4.683337995170295","-0.31055697195489596","0.011800000000000033","0.02059999999999995","0.003","1244.4444444444443","0.0009542187342307703","0","0.0009542187342307703","0.0009542187342307703","76_77:0.011932747292376283","76_77:561.7777777777777","true"
"77","179.10666103853418","267.871234251906","4.576652594999019","-0.313094932281466","0.03959999999999997","0.0446","0.034599999999999964","1244.4444444444443","0.0010531763553898324","0","0.0010531763553898324","0.0010531763553898324","77_78:0.01711690045469952;77_71:0.015616532997610122","77_78:561.7777777777777;77_71:561.7777777777777","true"
"78","338.2343431033046","219.60474031663148","4.48344603243401","-0.3136874752686043","0.0041999999999999815","0.005600000000000049","0.0028","1244.4444444444443","0.00015489041211696122","0","0.00015489041211696122","0.00015489041211696122","","","true"
"79","290.1647929969261","64.48208751274568","4.570691917262465","-0.29525409443808415","0.031299999999999994","0.0242","0.0384","1244.4444444444443","0.0007923771017586302","0","0.0007923771017586302","0.0007923771017586302","79_78:0.010267195817562857","79_78:561.7777777777777","true"
"80","24.189425359891242","26.59584801932872","4.600491609288461","0","0.17779999999999996","0.235","0.1206","1244.4444444444443","0.010396384430453607","0","0.010396384430453607","0.010396384430453607","80_81:0.06956865606314994;80_79:0.05715116563847086","80_81:561.7777777777777;80_79:561.7777777777777","true"
"81","203.70766683273385","80.58879019699566","4.498652512323562","-0.31468638313879793","0.005700000000000038","0.009399999999999964","0.002","1244.4444444444443","0.0006608603463490766","0","0.0006608603463490766","0.0006608603463490766","","","true"
"82","265.3224655475399","106.7907544166018","4.602405585022876","-0.31724266528169737","0.005199999999999982","0.010000000000000009","0.0004","1244.4444444444443","0.0003997120992266111","0","0.0003997120992266111","0.0003997120992266111","82_83:0.011969791647092554;82_81:0.01199763903410997","82_83:561.7777777777777;82_81:561.7777777777777","true"
"83","169.8106325302283","67.28187121910338","4.636302671042911","-0.3103580553605243","0.0131","0.0148","0.011399999999999966","1244.4444444444443","0.0003145059956232241","0","0.0003145059956232241","0.0003145059956232241","","","true"
"84","282.24807235147864","193.4684975649633","4.749612522379577","-0.3090225667525716","0.0019000000000000128","0.0031999999999999806","0.0006","1244.4444444444443","0.00011881998363035517","0","0.00011881998363035517","0.00011881998363035517","84_83:0.004642112430311818","84_83:561.7777777777777","true"
"85","287.1266955705428","202.20010820613996","4.586927636821675","-0.31154756735554556","0.0037000000000000366","0.0034","0.0040000000000000036","1244.4444444444443","0.00012948411943290508","0","0.00012948411943290508","0.00012948411943290508","85_86:0.04226895697733332;85_84:0.013150960765601072","85_86:561.7777777777777;85_84:561.7777777777777","true"
"86","288.66803699688035","151.77151972761908","4.756415475937018","-0.32580689050206485","0.04530000000000001","0.04600000000000004","0.0446","1244.4444444444443","0.00048069065433440516","0","0.00048069065433440516","0.00048069065433440516","","","true"
"87","148.81803354090064","53.86778219719909","4.72508548711527","0","0.017299999999999982","0.019000000000000017","0.0156","1244.4444444444443","0.0006397221351850787","0","0.0006397221351850787","0.0006397221351850787","87_93:0.018547367966593953;87_86:0.014318159853667772","87_93:561.7777777777777;87_86:561.7777777777777","true"
"88","67.74114371505577","33.64029048097663","4.566483553923442","-0.30765951332138847","0.018199999999999994","0.03520000000000001","0.0012","1244.4444444444443","0.002004929240267809","0","0.002004929240267809","0.002004929240267809","88_89:0.021817927335580523;88_87:0.025136151287257935","88_89:561.7777777777777;88_87:561.7777777777777","true"
"89","264.04791219526834","239.60220985557714","4.796714611630527","-0.3069228576805572","0.03939999999999999","0.044399999999999995","0.0344","1244.4444444444443","0.00014529853300117608","0","0.00014529853300117608","0.00014529853300117608","89_74:0.017575015332852273","89_74:561.7777777777777","true"
"90","13.309931145754016","21.05423846176417","4.704311539477431","-0.2860621408681651","0.0938000000000001","0.18300000000000005","0.0046","1244.4444444444443","0.005624042315730062","0","0.005624042315730062","0.005624042315730062","","","true"
"91","328.49690690153386","96.8213654821449","4.7090071358853525","-0.3103704189122232","0.0030999999999999917","0.0041999999999999815","0.002","1244.4444444444443","0.0001711586751320398","0","0.0001711586751320398","0.0001711586751320398","91_79:0.018027695582119946;91_98:0.01310638555032756","91_79:561.7777777777777;91_98:561.7777777777777","true"
